,Symbol,Name,Sector,EV/EBIT,MV,TDebt,EBIT
0,MMM,3M Company,Industrials,18.0977975775,30897203200.0,4568999936.0,1394000000
1,ABT,Abbott Laboratories,Health Care,61.1450957744,30897203200.0,4568999936.0,1394000000
2,ABBV,AbbVie,Health Care,17.7984253136,30897203200.0,4568999936.0,1394000000
3,ACN,Accenture plc,Information Technology,16.6785273913,30897203200.0,4568999936.0,1394000000
4,ATVI,Activision Blizzard,Information Technology,48.3676451646,30897203200.0,4568999936.0,1394000000
5,AYI,Acuity Brands Inc,Industrials,16.3341236913,30897203200.0,4568999936.0,1394000000
6,ADBE,Adobe Systems Inc,Information Technology,51.8146330318,30897203200.0,4568999936.0,1394000000
7,AAP,Advance Auto Parts,Consumer Discretionary,10.2518153353,30897203200.0,4568999936.0,1394000000
8,AES,AES Corp,Utilities,17.7667623833,30897203200.0,4568999936.0,1394000000
9,AET,Aetna Inc,Health Care,13.4204221005,30897203200.0,4568999936.0,1394000000
10,AMG,Affiliated Managers Group Inc,Financials,11.042656848,30897203200.0,4568999936.0,1394000000
11,AFL,AFLAC Inc,Financials,8.79678573841,30897203200.0,4568999936.0,1394000000
12,A,Agilent Technologies Inc,Health Care,36.9151875325,30897203200.0,4568999936.0,1394000000
13,APD,Air Products & Chemicals Inc,Materials,15.7662266815,30897203200.0,4568999936.0,1394000000
14,AKAM,Akamai Technologies Inc,Information Technology,17.9173533019,30897203200.0,4568999936.0,1394000000
15,ALK,Alaska Air Group Inc,Industrials,8.60353964218,30897203200.0,4568999936.0,1394000000
16,ALB,Albemarle Corp,Materials,20.8005789428,30897203200.0,4568999936.0,1394000000
17,ALXN,Alexion Pharmaceuticals,Health Care,52.8236725825,30897203200.0,4568999936.0,1394000000
18,ALLE,Allegion,Industrials,20.9389489231,30897203200.0,4568999936.0,1394000000
19,AGN,"Allergan, Plc",Health Care,-68.3736596928,30897203200.0,4568999936.0,1394000000
20,ADS,Alliance Data Systems,Information Technology,26.7762996697,30897203200.0,4568999936.0,1394000000
21,LNT,Alliant Energy Corp,Utilities,22.8939511194,30897203200.0,4568999936.0,1394000000
22,ALL,Allstate Corp,Financials,12.3322486218,30897203200.0,4568999936.0,1394000000
23,GOOGL,Alphabet Inc Class A,Information Technology,26.9337668585,30897203200.0,4568999936.0,1394000000
24,GOOG,Alphabet Inc Class C,Information Technology,0.0,30897203200.0,4568999936.0,1394000000
25,MO,Altria Group Inc,Consumer Staples,5.9519222224,30897203200.0,4568999936.0,1394000000
26,AMZN,Amazon.com Inc,Consumer Discretionary,111.360922442,30897203200.0,4568999936.0,1394000000
27,AEE,Ameren Corp,Utilities,16.033120967,30897203200.0,4568999936.0,1394000000
28,AAL,American Airlines Group,Industrials,8.7426154465,30897203200.0,4568999936.0,1394000000
29,AEP,American Electric Power,Utilities,42.7587398699,30897203200.0,4568999936.0,1394000000
30,AXP,American Express Co,Financials,14.2517204156,30897203200.0,4568999936.0,1394000000
31,AIG,"American International Group, Inc.",Financials,72.2598412951,30897203200.0,4568999936.0,1394000000
32,AMT,American Tower Corp A,Real Estate,44.658660319,30897203200.0,4568999936.0,1394000000
33,AWK,American Water Works Company Inc,Utilities,28.4035730286,30897203200.0,4568999936.0,1394000000
34,AMP,Ameriprise Financial,Financials,14.0009441368,30897203200.0,4568999936.0,1394000000
35,ABC,AmerisourceBergen Corp,Health Care,13.8794367157,30897203200.0,4568999936.0,1394000000
36,AME,AMETEK Inc,Industrials,21.5184540854,30897203200.0,4568999936.0,1394000000
37,AMGN,Amgen Inc,Health Care,15.7368096003,30897203200.0,4568999936.0,1394000000
38,APH,Amphenol Corp,Information Technology,23.0197783835,30897203200.0,4568999936.0,1394000000
39,APC,Anadarko Petroleum Corp,Energy,-13.6310482967,30897203200.0,4568999936.0,1394000000
40,ADI,"Analog Devices, Inc.",Information Technology,41.46156491,30897203200.0,4568999936.0,1394000000
41,ANTM,Anthem Inc.,Health Care,13.1256833707,30897203200.0,4568999936.0,1394000000
42,AON,Aon plc,Financials,21.3412325495,30897203200.0,4568999936.0,1394000000
43,APA,Apache Corporation,Energy,-18.5734532553,30897203200.0,4568999936.0,1394000000
44,AIV,Apartment Investment & Mgmt,Real Estate,45.2626098272,30897203200.0,4568999936.0,1394000000
45,AAPL,Apple Inc.,Information Technology,15.410668078,30897203200.0,4568999936.0,1394000000
46,AMAT,Applied Materials Inc,Information Technology,24.3267877786,30897203200.0,4568999936.0,1394000000
47,ADM,Archer-Daniels-Midland Co,Consumer Staples,14.4554230922,30897203200.0,4568999936.0,1394000000
48,ARNC,Arconic Inc,Industrials,19.2779260635,30897203200.0,4568999936.0,1394000000
49,AJG,Arthur J. Gallagher & Co.,Financials,28.9480691493,30897203200.0,4568999936.0,1394000000
50,AIZ,Assurant Inc,Financials,6.69956528696,30897203200.0,4568999936.0,1394000000
51,T,AT&T Inc,Telecommunications Services,15.1306770184,30897203200.0,4568999936.0,1394000000
52,ADSK,Autodesk Inc,Information Technology,-53.3604839712,30897203200.0,4568999936.0,1394000000
53,ADP,Automatic Data Processing,Information Technology,18.8798715637,30897203200.0,4568999936.0,1394000000
54,AN,AutoNation Inc,Consumer Discretionary,12.3937137158,30897203200.0,4568999936.0,1394000000
55,AZO,AutoZone Inc,Consumer Discretionary,9.92109856993,30897203200.0,4568999936.0,1394000000
56,AVB,"AvalonBay Communities, Inc.",Real Estate,26.8276472567,30897203200.0,4568999936.0,1394000000
57,AVY,Avery Dennison Corp,Materials,18.8072473743,30897203200.0,4568999936.0,1394000000
58,BHI,Baker Hughes Inc,Energy,0.0,30897203200.0,4568999936.0,1394000000
59,BLL,Ball Corp,Materials,61.0618142373,30897203200.0,4568999936.0,1394000000
60,BAC,Bank of America Corp,Financials,21.1537288765,30897203200.0,4568999936.0,1394000000
61,BCR,Bard (C.R.) Inc.,Health Care,0.0,30897203200.0,4568999936.0,1394000000
62,BAX,Baxter International Inc.,Health Care,0.0,30897203200.0,4568999936.0,1394000000
63,BBT,BB&T Corporation,Financials,16.3630990165,30897203200.0,4568999936.0,1394000000
64,BDX,Becton Dickinson,Health Care,44.1483773899,30897203200.0,4568999936.0,1394000000
65,BBBY,Bed Bath & Beyond,Consumer Discretionary,4.88509286564,30897203200.0,4568999936.0,1394000000
66,BRK.B,Berkshire Hathaway,Financials,0.0,30897203200.0,4568999936.0,1394000000
67,BBY,Best Buy Co. Inc.,Consumer Discretionary,9.64311355932,30897203200.0,4568999936.0,1394000000
