,Symbol,Name,EV/EBIT, MV , TDebt , EBIT 
2083,PEN,PENUMBRA INC,-3353.882219," 2,914,523,648.00 ", -   ," -869,000.00 "
2707,TWI,TITAN INTERNATIONAL INC,-3049.116467," 515,217,920.00 "," 451,352,000.00 "," -317,000.00 "
1199,GSIT,GSI TECHNOLOGY,-2825.738122," 138,461,168.00 ", -   ," -49,000.00 "
1771,MRT,MEDEQUITIES REALTY TRUST,-2747.327849," 366,780,640.00 "," 163,841,008.00 "," -193,141.00 "
2664,TRGP,TARGA RESOURCES INC,-2609.610193," 9,838,056,448.00 "," 4,514,799,616.00 "," -5,500,000.00 "
2177,PRSC,PROVIDENCE SERVICE CORP,-2420.485559," 710,994,240.00 "," 3,049,000.00 "," -295,000.00 "
589,CMTL,COMTECH TELECOMM,-1567.294081," 461,973,984.00 "," 230,770,000.00 "," -442,000.00 "
886,ENT,GLOBAL EAGLE ENTMT INC,-1411.502638," 271,284,832.00 "," 441,524,000.00 "," -505,000.00 "
1801,MTSI,MACOM TECH SOLUTIONS,-1116.316967," 2,824,364,544.00 "," 685,336,000.00 "," -3,144,000.00 "
2979,YELP,YELP INC,-1071.787758," 3,520,822,784.00 ", -   ," -3,285,000.00 "
1993,OMCL,OMNICELL INC,-1064.034448," 1,878,303,104.00 "," 194,436,000.00 "," -1,948,000.00 "
2174,PRMW,PRIMO WTR CORP,-1008.056615," 354,399,328.00 "," 274,628,000.00 "," -624,000.00 "
1725,MJCO,MAJESCO,-942.5539906," 182,638,000.00 "," 18,126,000.00 "," -213,000.00 "
2628,TITN,TITAN MACHINERY INC,-776.7809434," 271,099,232.00 "," 387,611,008.00 "," -848,000.00 "
2222,QTNA,QUANTENNA COMMUNICATIONS,-766.6218864," 656,586,688.00 "," 5,008,000.00 "," -863,000.00 "
2600,TELL,TELLURIAN INC,-686.3701949," 2,281,494,528.00 ", -   ," -3,324,000.00 "
2284,RLGT,RADIANT LOGISTICS INC,-658.600281," 243,943,120.00 "," 32,668,998.00 "," -420,000.00 "
671,CSII,CARDIOVASCULAR SYS INC,-588.1775006," 982,330,816.00 "," 21,100,000.00 "," -1,706,000.00 "
1703,MET,METLIFE INC,-579.2749726," 50,964,619,264.00 "," 61,994,000,384.00 "," -195,000,000.00 "
652,CREE,CREE INC,-543.0669091," 2,387,864,064.00 "," 145,000,000.00 "," -4,664,000.00 "
303,BCOR,BLUCORA INC,-520.0205646," 1,028,926,784.00 "," 356,408,000.00 "," -2,664,000.00 "
511,CF,CF INDUSTRIES HOLDINGS,-499.8973046," 7,214,329,856.00 "," 5,783,000,064.00 "," -26,000,000.00 "
1269,HIL,HILL INTERNATIONAL INC,-476.474548," 251,609,264.00 "," 155,300,000.00 "," -854,000.00 "
1538,KVHI,KVH INDUSTRIES INC,-465.0504419," 199,931,936.00 "," 48,405,000.00 "," -534,000.00 "
2566,SYMC,SYMANTEC CORP,-451.7108338," 18,190,385,152.00 "," 6,201,999,872.00 "," -54,000,000.00 "
2009,OPY,OPPENHEIMER HOLDINGS INC,-446.6693149," 209,214,128.00 "," 887,359,040.00 "," -2,455,000.00 "
2957,XBKS,XENITH BANKSHARES INC,-423.6539443," 654,545,344.00 ", -   ," -1,545,000.00 "
207,AROC,ARCHROCK INC,-399.9168185," 764,367,680.00 "," 1,443,972,992.00 "," -5,522,000.00 "
